model,top1,top3,top5,cond_top1,mrr,log_loss,candidate_coverage,cat_A,cat_B,cat_C,cat_D,personal_deviation_rate
Random,16.482078601803824,47.01154259544838,74.39132669750923,22.155914316225893,0.3542766795956198,0.9948948361556003,74.39132669750923,11.552233180476161,10.603681135749733,38.08656322633331,39.75752245744079,78.64386186270387
Stockfish,36.92695920370111,63.32538903687088,74.39132669750923,49.63879640680947,0.5102162094801937,5.03663709221442,74.39132669750923,49.63879640680947,0.0,0.0,50.36120359319053,0.0
Logistic Regression,38.113930557502684,64.33945511472498,74.39132669750923,51.2343740184685,0.5196714799756998,0.5756186571864308,74.39132669750923,45.78177021169672,5.452603806771783,3.8570261951127582,44.90859978641875,12.566007757371839
HistGradientBoosting,42.389831300528066,66.2507593812795,74.39132669750923,56.9822225014134,0.5487320279763851,0.43581714248364045,74.39132669750923,46.629813430491865,10.35240907092154,3.008982976317608,40.008794522268985,19.97756904528249
