style_strength,exact_imitation,avg_cpl_drop,median_cpl_drop,style_win_rate,style_loss_rate,style_net,stockfish_agreement,blunder_rate
0.0,0.3692695920370111,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.1,0.4029627552689378,-1.1725781578578438,0.0,0.04327305014253002,0.009579886910603299,0.033693163231926726,0.9062573017430721,0.0
0.25,0.4148791999626151,-2.352306182531894,0.0,0.059395298845740456,0.013785690920136455,0.045609607925604,0.8646198420486939,0.0
0.5,0.41955231552876304,-3.316837235384831,0.0,0.06790036917612972,0.017617645684377774,0.050282723491751946,0.8363942240291602,0.0
0.75,0.42128136828823776,-3.9393429599513996,0.0,0.07196597971867845,0.01995420346745175,0.0520117762512267,0.8218608346184401,0.0
0.9,0.42202906677882146,-4.223515117528857,0.0,0.07346137669984579,0.020701901958035424,0.052759474741810364,0.8161129024720781,0.0
1.0,0.4224029160241133,-4.376279265386233,0.0,0.07430253750175242,0.021169213514650218,0.0531333239871022,0.8128417215757746,0.0
