Feature,Importance,Std
cand_is_capture,0.02121999999999997,0.0012448293055676266
stockfish_rank,0.016039999999999943,0.0005425863986500075
legal_move_count,0.012279999999999913,0.0017405746177627677
cand_moving_piece,0.00921999999999996,0.0011737120600896947
move_number,0.008639999999999936,0.0006053098380168616
eval_drop,0.006919999999999949,0.0011855800268223142
candidate_eval,0.0065599999999999435,0.0006974238309664947
eco,0.0028599999999999516,0.0005314132102234518
side_to_move,0.002339999999999942,0.0006468384651518582
b_material,0.0015599999999999614,0.00031368774282716615
opening,0.00125999999999995,0.00040298883359223377
material_balance,0.0012399999999999744,0.00024166091947186484
w_pawns,0.0009399999999999409,0.00027276363393973754
cand_is_check,0.0008999999999999453,0.00022803508501985115
b_pawns,0.0005199999999999649,0.0003599999999999961
cand_is_castling,0.0004999999999999672,0.0003521363372331729
w_knights,0.0004199999999999537,0.00019390719429663181
w_material,0.00039999999999995595,0.0006418722614352747
b_knights,0.00031999999999996474,0.0003059411708155334
w_rooks,0.00031999999999994256,0.0002785677655436852
game_phase,0.00025999999999997135,0.00014966629547094118
b_queens,0.0002599999999999492,0.0002244994432064474
cand_is_pawn_move,0.00015999999999998237,4.898979485565817e-05
b_bishops,9.999999999998899e-05,0.00012649110640672122
w_bishops,5.999999999994898e-05,0.0002416609194719126
cand_is_promotion,3.999999999999559e-05,4.898979485565817e-05
is_mate,0.0,0.0
time_control,-2.0000000000042208e-05,0.00016000000000003232
w_queens,-8.00000000000356e-05,0.00014696938456702587
b_rooks,-0.0002000000000000668,0.00016733200530683648
